Index,Name,R DMX,G DMX,B DMX,W DMX,A DMX,sR,sG,sB,Brightness,Brightness Name,Color Group,Category,Temperature
511,R=170 (Mid) + G=0 (Off) + B=0 (Off) + W=85 (Dim) + A=170 (Mid),170,0,0,85,170,255,106,42,170,Mid,red-orange,warm,very-warm
512,R=170 (Mid) + G=0 (Off) + B=0 (Off) + W=85 (Dim) + A=255 (Full),170,0,0,85,255,255,138,42,170,Mid,red-orange,warm,very-warm
521,R=170 (Mid) + G=0 (Off) + B=85 (Dim) + W=0 (Off) + A=0 (Off),170,0,85,0,0,170,0,85,85,Dim,red,warm,warm
522,R=170 (Mid) + G=0 (Off) + B=85 (Dim) + W=0 (Off) + A=85 (Dim),170,0,85,0,85,212,31,85,85,Dim,red,warm,warm
523,R=170 (Mid) + G=0 (Off) + B=85 (Dim) + W=0 (Off) + A=170 (Mid),170,0,85,0,170,255,63,85,85,Dim,red,warm,warm
524,R=170 (Mid) + G=0 (Off) + B=85 (Dim) + W=0 (Off) + A=255 (Full),170,0,85,0,255,255,95,85,170,Mid,red,warm,warm
525,R=170 (Mid) + G=0 (Off) + B=85 (Dim) + W=85 (Dim) + A=0 (Off),170,0,85,85,0,212,42,127,85,Dim,red,warm,warm
526,R=170 (Mid) + G=0 (Off) + B=85 (Dim) + W=85 (Dim) + A=85 (Dim),170,0,85,85,85,255,74,127,170,Mid,red,warm,warm
527,R=170 (Mid) + G=0 (Off) + B=85 (Dim) + W=85 (Dim) + A=170 (Mid),170,0,85,85,170,255,106,127,170,Mid,red,warm,warm
528,R=170 (Mid) + G=0 (Off) + B=85 (Dim) + W=85 (Dim) + A=255 (Full),170,0,85,85,255,255,138,127,170,Mid,red,warm,warm
537,R=170 (Mid) + G=0 (Off) + B=170 (Mid) + W=0 (Off) + A=0 (Off),170,0,170,0,0,170,0,170,85,Dim,magenta,cool,neutral
538,R=170 (Mid) + G=0 (Off) + B=170 (Mid) + W=0 (Off) + A=85 (Dim),170,0,170,0,85,212,31,170,85,Dim,magenta,cool,neutral
539,R=170 (Mid) + G=0 (Off) + B=170 (Mid) + W=0 (Off) + A=170 (Mid),170,0,170,0,170,255,63,170,170,Mid,red,warm,warm
540,R=170 (Mid) + G=0 (Off) + B=170 (Mid) + W=0 (Off) + A=255 (Full),170,0,170,0,255,255,95,170,170,Mid,red,warm,warm
541,R=170 (Mid) + G=0 (Off) + B=170 (Mid) + W=85 (Dim) + A=0 (Off),170,0,170,85,0,212,42,212,85,Dim,magenta,cool,neutral
542,R=170 (Mid) + G=0 (Off) + B=170 (Mid) + W=85 (Dim) + A=85 (Dim),170,0,170,85,85,255,74,212,170,Mid,magenta,cool,neutral
543,R=170 (Mid) + G=0 (Off) + B=170 (Mid) + W=85 (Dim) + A=170 (Mid),170,0,170,85,170,255,106,212,170,Mid,magenta,cool,neutral
544,R=170 (Mid) + G=0 (Off) + B=170 (Mid) + W=85 (Dim) + A=255 (Full),170,0,170,85,255,255,138,212,170,Mid,magenta,cool,neutral
553,R=170 (Mid) + G=0 (Off) + B=255 (Full) + W=0 (Off) + A=0 (Off),170,0,255,0,0,170,0,255,85,Dim,purple,cool,cool
554,R=170 (Mid) + G=0 (Off) + B=255 (Full) + W=0 (Off) + A=85 (Dim),170,0,255,0,85,212,31,255,85,Dim,purple,cool,neutral
555,R=170 (Mid) + G=0 (Off) + B=255 (Full) + W=0 (Off) + A=170 (Mid),170,0,255,0,170,255,63,255,170,Mid,magenta,cool,neutral
556,R=170 (Mid) + G=0 (Off) + B=255 (Full) + W=0 (Off) + A=255 (Full),170,0,255,0,255,255,95,255,170,Mid,magenta,cool,neutral
557,R=170 (Mid) + G=0 (Off) + B=255 (Full) + W=85 (Dim) + A=0 (Off),170,0,255,85,0,212,42,255,85,Dim,purple,cool,neutral
558,R=170 (Mid) + G=0 (Off) + B=255 (Full) + W=85 (Dim) + A=85 (Dim),170,0,255,85,85,255,74,255,170,Mid,magenta,cool,neutral
559,R=170 (Mid) + G=0 (Off) + B=255 (Full) + W=85 (Dim) + A=170 (Mid),170,0,255,85,170,255,106,255,170,Mid,magenta,cool,neutral
560,R=170 (Mid) + G=0 (Off) + B=255 (Full) + W=85 (Dim) + A=255 (Full),170,0,255,85,255,255,138,255,170,Mid,magenta,cool,neutral
569,R=170 (Mid) + G=85 (Dim) + B=0 (Off) + W=0 (Off) + A=0 (Off),170,85,0,0,0,170,85,0,85,Dim,red-orange,warm,very-warm
570,R=170 (Mid) + G=85 (Dim) + B=0 (Off) + W=0 (Off) + A=85 (Dim),170,85,0,0,85,212,116,0,170,Mid,red-orange,warm,very-warm
571,R=170 (Mid) + G=85 (Dim) + B=0 (Off) + W=0 (Off) + A=170 (Mid),170,85,0,0,170,255,148,0,170,Mid,red-orange,warm,very-warm
572,R=170 (Mid) + G=85 (Dim) + B=0 (Off) + W=0 (Off) + A=255 (Full),170,85,0,0,255,255,180,0,170,Mid,orange,warm,very-warm
585,R=170 (Mid) + G=85 (Dim) + B=85 (Dim) + W=0 (Off) + A=0 (Off),170,85,85,0,0,170,85,85,85,Dim,red,warm,warm
586,R=170 (Mid) + G=85 (Dim) + B=85 (Dim) + W=0 (Off) + A=85 (Dim),170,85,85,0,85,212,116,85,170,Mid,red,warm,warm
587,R=170 (Mid) + G=85 (Dim) + B=85 (Dim) + W=0 (Off) + A=170 (Mid),170,85,85,0,170,255,148,85,170,Mid,red-orange,warm,warm
588,R=170 (Mid) + G=85 (Dim) + B=85 (Dim) + W=0 (Off) + A=255 (Full),170,85,85,0,255,255,180,85,170,Mid,orange,warm,warm
601,R=170 (Mid) + G=85 (Dim) + B=170 (Mid) + W=0 (Off) + A=0 (Off),170,85,170,0,0,170,85,170,85,Dim,magenta,cool,neutral
602,R=170 (Mid) + G=85 (Dim) + B=170 (Mid) + W=0 (Off) + A=85 (Dim),170,85,170,0,85,212,116,170,170,Mid,magenta,cool,neutral
603,R=170 (Mid) + G=85 (Dim) + B=170 (Mid) + W=0 (Off) + A=170 (Mid),170,85,170,0,170,255,148,170,170,Mid,red,warm,warm
604,R=170 (Mid) + G=85 (Dim) + B=170 (Mid) + W=0 (Off) + A=255 (Full),170,85,170,0,255,255,180,170,170,Mid,red,warm,warm
761,R=255 (Full) + G=0 (Off) + B=0 (Off) + W=0 (Off) + A=0 (Off),255,0,0,0,0,255,0,0,85,Dim,red,warm,very-warm
762,R=255 (Full) + G=0 (Off) + B=0 (Off) + W=0 (Off) + A=85 (Dim),255,0,0,0,85,255,31,0,85,Dim,red-orange,warm,very-warm
763,R=255 (Full) + G=0 (Off) + B=0 (Off) + W=0 (Off) + A=170 (Mid),255,0,0,0,170,255,63,0,85,Dim,red-orange,warm,very-warm
764,R=255 (Full) + G=0 (Off) + B=0 (Off) + W=0 (Off) + A=255 (Full),255,0,0,0,255,255,95,0,170,Mid,red-orange,warm,very-warm
765,R=255 (Full) + G=0 (Off) + B=0 (Off) + W=85 (Dim) + A=0 (Off),255,0,0,85,0,255,42,42,85,Dim,red,warm,very-warm
766,R=255 (Full) + G=0 (Off) + B=0 (Off) + W=85 (Dim) + A=85 (Dim),255,0,0,85,85,255,74,42,85,Dim,red-orange,warm,very-warm
767,R=255 (Full) + G=0 (Off) + B=0 (Off) + W=85 (Dim) + A=170 (Mid),255,0,0,85,170,255,106,42,170,Mid,red-orange,warm,very-warm
768,R=255 (Full) + G=0 (Off) + B=0 (Off) + W=85 (Dim) + A=255 (Full),255,0,0,85,255,255,138,42,170,Mid,red-orange,warm,very-warm
777,R=255 (Full) + G=0 (Off) + B=85 (Dim) + W=0 (Off) + A=0 (Off),255,0,85,0,0,255,0,85,85,Dim,red,warm,warm
778,R=255 (Full) + G=0 (Off) + B=85 (Dim) + W=0 (Off) + A=85 (Dim),255,0,85,0,85,255,31,85,85,Dim,red,warm,warm
779,R=255 (Full) + G=0 (Off) + B=85 (Dim) + W=0 (Off) + A=170 (Mid),255,0,85,0,170,255,63,85,85,Dim,red,warm,warm
780,R=255 (Full) + G=0 (Off) + B=85 (Dim) + W=0 (Off) + A=255 (Full),255,0,85,0,255,255,95,85,170,Mid,red,warm,warm
781,R=255 (Full) + G=0 (Off) + B=85 (Dim) + W=85 (Dim) + A=0 (Off),255,0,85,85,0,255,42,127,85,Dim,red,warm,warm
782,R=255 (Full) + G=0 (Off) + B=85 (Dim) + W=85 (Dim) + A=85 (Dim),255,0,85,85,85,255,74,127,170,Mid,red,warm,warm
783,R=255 (Full) + G=0 (Off) + B=85 (Dim) + W=85 (Dim) + A=170 (Mid),255,0,85,85,170,255,106,127,170,Mid,red,warm,warm
784,R=255 (Full) + G=0 (Off) + B=85 (Dim) + W=85 (Dim) + A=255 (Full),255,0,85,85,255,255,138,127,170,Mid,red,warm,warm
793,R=255 (Full) + G=0 (Off) + B=170 (Mid) + W=0 (Off) + A=0 (Off),255,0,170,0,0,255,0,170,85,Dim,red,warm,warm
794,R=255 (Full) + G=0 (Off) + B=170 (Mid) + W=0 (Off) + A=85 (Dim),255,0,170,0,85,255,31,170,85,Dim,red,warm,warm
795,R=255 (Full) + G=0 (Off) + B=170 (Mid) + W=0 (Off) + A=170 (Mid),255,0,170,0,170,255,63,170,170,Mid,red,warm,warm
796,R=255 (Full) + G=0 (Off) + B=170 (Mid) + W=0 (Off) + A=255 (Full),255,0,170,0,255,255,95,170,170,Mid,red,warm,warm
797,R=255 (Full) + G=0 (Off) + B=170 (Mid) + W=85 (Dim) + A=0 (Off),255,0,170,85,0,255,42,212,85,Dim,magenta,cool,neutral
798,R=255 (Full) + G=0 (Off) + B=170 (Mid) + W=85 (Dim) + A=85 (Dim),255,0,170,85,85,255,74,212,170,Mid,magenta,cool,neutral
799,R=255 (Full) + G=0 (Off) + B=170 (Mid) + W=85 (Dim) + A=170 (Mid),255,0,170,85,170,255,106,212,170,Mid,magenta,cool,neutral
800,R=255 (Full) + G=0 (Off) + B=170 (Mid) + W=85 (Dim) + A=255 (Full),255,0,170,85,255,255,138,212,170,Mid,magenta,cool,neutral
809,R=255 (Full) + G=0 (Off) + B=255 (Full) + W=0 (Off) + A=0 (Off),255,0,255,0,0,255,0,255,85,Dim,magenta,cool,neutral
810,R=255 (Full) + G=0 (Off) + B=255 (Full) + W=0 (Off) + A=85 (Dim),255,0,255,0,85,255,31,255,85,Dim,magenta,cool,neutral
811,R=255 (Full) + G=0 (Off) + B=255 (Full) + W=0 (Off) + A=170 (Mid),255,0,255,0,170,255,63,255,170,Mid,magenta,cool,neutral
812,R=255 (Full) + G=0 (Off) + B=255 (Full) + W=0 (Off) + A=255 (Full),255,0,255,0,255,255,95,255,170,Mid,magenta,cool,neutral
825,R=255 (Full) + G=85 (Dim) + B=0 (Off) + W=0 (Off) + A=0 (Off),255,85,0,0,0,255,85,0,85,Dim,red-orange,warm,very-warm
826,R=255 (Full) + G=85 (Dim) + B=0 (Off) + W=0 (Off) + A=85 (Dim),255,85,0,0,85,255,116,0,170,Mid,red-orange,warm,very-warm
827,R=255 (Full) + G=85 (Dim) + B=0 (Off) + W=0 (Off) + A=170 (Mid),255,85,0,0,170,255,148,0,170,Mid,red-orange,warm,very-warm
828,R=255 (Full) + G=85 (Dim) + B=0 (Off) + W=0 (Off) + A=255 (Full),255,85,0,0,255,255,180,0,170,Mid,orange,warm,very-warm
